gesture,rep,t_ms,gx,gy,gz
left,3,261,24.000,43.813,-71.750
left,3,271,15.563,55.625,-84.375
left,3,281,10.188,64.625,-96.375
left,3,291,6.437,71.313,-111.938
left,3,301,3.375,71.688,-123.875
left,3,311,1.937,69.563,-136.312
left,3,321,-0.250,67.813,-155.375
left,3,331,-3.375,67.813,-174.000
left,3,341,-8.438,67.688,-193.125
left,3,351,-19.750,65.750,-211.125
left,3,361,-35.625,64.938,-217.500
left,3,371,-57.438,69.250,-218.250
left,3,381,-86.563,85.750,-217.312
left,3,391,-103.063,105.813,-219.437
left,3,401,-108.063,127.250,-226.250
left,3,411,-98.625,149.937,-241.125
left,3,421,-84.063,162.125,-257.375
left,3,431,-64.313,169.125,-280.875
left,3,441,-51.063,170.562,-300.062
left,3,451,-43.375,173.500,-318.312
left,3,461,-44.625,184.875,-338.125
left,3,471,-54.250,197.312,-349.062
left,3,481,-69.188,205.625,-353.500
left,3,491,-90.438,206.937,-351.812
left,3,501,-106.938,202.750,-349.125
left,3,511,-121.438,196.312,-349.625
left,3,521,-129.937,189.312,-359.562
left,3,531,-123.438,182.250,-376.812
left,3,541,-105.875,156.562,-402.250
left,3,551,-84.313,117.313,-412.375
left,3,561,-79.938,70.688,-404.437
left,3,571,-90.125,24.562,-371.687
left,3,581,-105.563,9.875,-339.812
left,3,591,-123.750,17.000,-314.187
left,3,601,-142.062,47.813,-291.750
left,3,611,-147.812,77.125,-275.125
left,3,621,-145.250,98.000,-256.312
left,3,631,-130.250,101.500,-229.500
left,3,641,-110.563,88.625,-203.062
left,3,651,-93.375,59.438,-172.875
left,3,661,-75.250,22.312,-131.562
left,3,671,-57.375,22.500,-99.938
left,3,681,-38.688,44.875,-68.000
left,3,691,-30.125,46.625,-46.688
left,3,701,-24.187,30.000,-25.312
left,3,711,-15.313,9.063,0.125
left,3,721,-7.562,2.938,17.437
left,3,731,-1.562,2.938,32.938
left,3,741,2.625,3.438,50.375
left,3,751,5.250,2.000,63.375
left,3,761,9.000,-1.000,77.125
left,3,771,15.813,-6.500,95.250
left,3,781,22.812,-12.313,106.688
left,3,791,35.688,-22.062,114.625
left,3,801,52.750,-29.062,119.813
left,3,811,75.188,-33.438,124.750
left,3,821,100.125,-41.063,127.563
left,3,831,111.688,-50.438,127.563
left,3,841,117.813,-58.938,128.187
left,3,851,123.750,-65.688,134.250
left,3,861,127.750,-71.875,144.562
left,3,871,129.875,-79.500,156.812
left,3,881,128.875,-84.875,169.937
left,3,891,126.188,-82.375,178.875
left,3,901,122.938,-75.563,191.125
left,3,911,117.625,-68.063,202.125
left,3,921,112.063,-66.313,212.875
left,3,931,102.813,-67.625,225.250
left,3,941,95.000,-68.188,233.625
