gesture,rep,t_ms,gx,gy,gz
up,2,941,-72.875,-99.563,105.250
up,2,951,-81.563,-112.813,106.250
up,2,961,-77.125,-135.562,106.875
up,2,971,-55.875,-169.687,104.125
up,2,981,-40.375,-182.125,99.375
up,2,991,-44.563,-180.625,98.063
up,3,1,-8.563,7.937,-4.687
up,3,10,-7.937,6.375,-4.687
up,3,21,-6.562,3.625,-4.000
up,3,31,-5.312,2.063,-3.563
up,3,41,-3.813,1.312,-3.375
up,3,51,-3.063,1.375,-3.438
up,3,61,-3.500,1.937,-4.250
up,3,71,-3.813,2.438,-5.625
up,3,81,-3.750,2.375,-6.875
up,3,91,-3.500,1.437,-6.812
up,3,101,-1.437,-1.500,-5.312
up,3,111,2.125,-4.687,-3.125
up,3,121,4.312,-6.750,-0.875
up,3,131,2.063,-7.125,0.750
up,3,141,0.750,-9.125,1.000
up,3,151,5.500,-18.187,0.937
up,3,161,18.437,-41.750,4.187
up,3,171,25.812,-64.500,10.750
up,3,181,30.250,-81.938,17.562
up,3,191,42.063,-97.625,22.937
up,3,201,59.000,-108.750,24.500
up,3,211,75.063,-113.188,18.625
up,3,221,75.625,-102.688,4.625
up,3,231,58.188,-81.813,-15.063
up,3,241,35.188,-52.250,-40.125
up,3,251,30.187,-33.125,-57.250
up,3,261,39.875,-21.125,-71.938
up,3,271,70.438,-10.438,-87.500
up,3,281,101.938,6.312,-95.625
up,3,291,122.688,34.938,-98.563
up,3,301,117.063,75.500,-99.000
up,3,311,97.000,100.875,-99.125
up,3,321,80.125,116.938,-80.813
up,3,331,70.313,126.438,-85.375
up,3,341,63.938,131.312,-72.438
up,3,351,53.313,141.437,-63.188
up,3,361,45.688,152.375,-72.063
up,3,371,42.438,160.250,-91.938
up,3,381,47.250,150.687,-83.688
up,3,391,49.125,123.875,-59.625
up,3,401,44.125,99.813,-48.000
up,3,411,32.188,93.938,-44.000
up,3,421,25.750,99.438,-34.875
up,3,431,21.187,101.688,-21.500
up,3,441,2.313,101.563,-7.062
up,3,451,-30.312,106.625,2.000
up,3,461,-88.063,120.313,10.813
up,3,471,-115.750,129.750,12.125
up,3,481,-130.062,131.625,5.750
up,3,491,-116.688,118.875,-9.563
up,3,501,-85.563,96.875,-21.375
up,3,511,-47.438,66.688,-30.562
up,3,521,-6.437,25.750,-38.813
up,3,531,16.625,-2.313,-41.688
up,3,541,31.562,-23.812,-40.000
up,3,551,36.313,-42.438,-32.250
up,3,561,29.750,-50.000,-24.937
up,3,571,20.312,-48.438,-18.437
up,3,581,9.750,-34.313,-10.375
up,3,591,2.375,-22.500,-4.500
up,3,601,0.312,-22.125,-0.875
up,3,611,11.125,-33.375,0.562
up,3,621,30.187,-47.500,4.125
up,3,631,46.688,-60.313,15.063
up,3,641,40.813,-62.938,28.750
up,3,651,18.750,-56.625,43.625
up,3,661,-12.750,-39.125,57.125
up,3,671,-24.312,-24.437,59.813
up,3,681,-18.875,-14.375,55.563
up,3,691,1.500,-8.813,44.250
up,3,701,17.687,-6.312,33.563
up,3,711,28.437,-2.563,22.875
up,3,721,35.438,-2.125,19.875
up,3,731,38.250,-8.375,23.437
up,3,741,37.250,-23.937,36.875
up,3,751,26.312,-35.000,52.063
up,3,761,2.125,-38.500,67.313
up,3,771,-35.313,-31.312,80.250
up,3,781,-54.375,-21.500,81.000
up,3,791,-56.375,-13.688,73.313
up,3,801,-43.375,-10.813,63.750
up,3,811,-35.875,-8.875,58.250
