gesture,rep,t_ms,gx,gy,gz
right,3,521,3.813,-111.375,78.063
right,3,531,7.625,-92.875,62.500
right,3,541,1.000,-76.625,39.438
right,3,551,-9.563,-64.750,23.500
right,3,561,-19.812,-50.563,12.750
right,3,571,-24.187,-28.500,6.687
right,3,581,-18.437,-7.937,6.000
right,3,591,-7.187,14.000,7.500
right,3,601,9.250,42.938,11.688
right,3,611,22.250,68.813,16.062
right,3,621,32.375,98.438,16.937
right,3,631,31.125,115.625,12.250
right,3,641,26.312,134.125,5.062
right,3,651,19.500,161.937,-3.688
right,3,661,10.500,176.812,-8.375
right,3,671,0.062,179.312,-10.250
right,3,681,-5.437,173.562,-9.313
right,3,691,0.375,169.562,-6.437
right,3,701,13.750,166.062,-2.688
right,3,711,35.813,162.437,-3.313
right,3,721,53.313,165.500,-15.813
right,3,731,65.125,174.875,-44.500
right,3,741,64.625,182.937,-68.063
right,3,751,53.375,178.375,-87.250
right,3,761,40.313,163.562,-104.750
right,3,771,40.063,152.312,-113.375
right,3,781,48.250,143.437,-117.063
right,3,791,63.875,132.000,-117.063
right,3,801,76.750,119.375,-115.625
right,3,811,87.000,102.375,-113.563
right,3,821,95.125,79.625,-112.375
right,3,831,99.500,68.063,-115.375
right,3,841,99.250,66.438,-122.375
right,3,851,84.250,74.313,-134.875
right,3,861,62.438,82.188,-144.437
right,3,871,34.250,85.563,-150.312
right,3,881,12.688,79.688,-152.312
right,3,891,0.500,70.563,-153.687
right,3,901,-4.562,64.188,-153.562
right,3,911,-11.563,65.688,-153.187
right,3,921,-23.750,70.938,-154.187
right,3,931,-42.563,76.750,-153.625
right,3,941,-54.750,82.250,-149.500
right,3,951,-61.438,91.188,-142.187
right,3,961,-59.750,106.188,-132.062
right,3,971,-50.063,117.938,-123.625
right,3,981,-36.250,125.688,-112.000
right,3,991,-19.250,124.438,-101.188
right,4,1,-0.812,2.750,-2.500
right,4,11,-0.250,3.750,-2.875
right,4,21,0.562,4.375,-2.313
right,4,31,1.062,3.875,-0.875
right,4,41,0.562,2.500,0.437
right,4,51,-2.625,0.312,0.875
right,4,61,-7.000,-0.875,0.250
right,4,71,-15.188,-1.625,-1.625
right,4,81,-26.250,-3.188,-4.812
right,4,91,-43.625,-6.812,-10.125
right,4,101,-73.375,-11.125,-20.312
right,4,111,-98.125,-10.750,-29.000
right,4,121,-117.563,-5.500,-35.375
right,4,131,-132.750,6.250,-39.875
right,4,141,-140.500,17.062,-43.938
right,4,151,-143.500,28.375,-48.375
right,4,161,-137.750,44.938,-53.750
right,4,171,-126.313,65.500,-60.188
right,4,181,-106.313,99.875,-69.313
right,4,191,-90.938,122.438,-74.438
right,4,201,-82.563,128.937,-74.875
right,4,211,-84.438,114.625,-66.250
right,4,221,-84.438,92.500,-53.375
right,4,231,-65.688,65.188,-40.125
